model,seed,scenario,n,dice_mean,dice_std,recall_mean,hd95_mean,hd95_failures,complete_miss,both_empty,seconds_mean,peak_gpu_gb_mean
A,0,C0,20,0.8738260782864111,0.09604524378757787,0.906921629581215,10.393828647855491,0,0,0,0.39884519577026367,6.934773760000001
A,0,C1,20,0.8692131534464972,0.10780456886332122,0.9021343529799042,8.894705906508591,0,0,0,0.38052711486816404,6.934773760000001
A,0,C2,20,0.8626715955606459,0.12268760050101092,0.9122327868533956,11.312747710263556,0,0,0,0.37775641679763794,6.934773760000001
A,1,C0,20,0.8832404500370534,0.11078333180604065,0.9267102749583476,9.714520775668083,0,0,0,0.38784425258636473,6.934773760000001
A,1,C1,20,0.8809195094650597,0.11336292353376158,0.9202840930681215,7.533231668687058,0,0,0,0.3743811368942261,6.934773760000001
A,1,C2,20,0.8782659207913668,0.11725849050576717,0.9196548245249376,7.86221256536894,0,0,0,0.37444456815719607,6.934773760000001
A,2,C0,20,0.8769706412976863,0.11756590026052036,0.9251989485043344,11.615859693850595,0,0,0,0.38714884519577025,6.934773760000001
A,2,C1,20,0.8709199781934249,0.12040586953216822,0.9052289041812257,12.226578076599694,0,0,0,0.37386480569839475,6.934773760000001
A,2,C2,20,0.8688531167557189,0.12013745729846659,0.9075027813270184,11.011306005989953,0,0,0,0.3726422548294067,6.934773760000001
B,0,C0,20,0.7878804911734918,0.13338045946423607,0.8276031165330557,27.377210061219547,0,0,0,5.922161042690277,7.8956375040000015
B,0,C1,20,0.7886544957584964,0.13296489351125093,0.8299933773813961,27.44213397997067,0,0,0,5.918522191047669,7.8956375040000015
B,0,C2,20,0.7849154796474498,0.13702410629187178,0.8346042801914099,27.74657645744991,0,0,0,5.9196259617805485,7.8956375040000015
B,1,C0,20,0.7690944981056262,0.14218838022778543,0.8008973270343495,24.254993714201525,0,0,0,5.933496570587158,7.8956375040000015
B,1,C1,20,0.7638603769171095,0.14078096069451476,0.8092358532530373,28.64937966118479,0,0,0,5.931157910823822,7.8956375040000015
B,1,C2,20,0.7585496755166733,0.1455288003508979,0.820859988790868,26.686471940833524,0,0,0,5.932167446613311,7.8956375040000015
B,2,C0,20,0.7813014895066174,0.13711299016936093,0.801050535811434,23.34101073860122,0,0,0,5.928908920288086,7.8956375040000015
B,2,C1,20,0.7866524063428899,0.13705312524690122,0.7836998080379208,17.79686089598862,0,0,0,5.925543975830078,7.8956375040000015
B,2,C2,20,0.7854696703173024,0.13851267721486435,0.7849912852295468,17.975395029095477,0,0,0,5.9270231366157535,7.8956375040000015
